Epic ID,Epic,Task ID,Task,Type,Module,Priority,Story Points,Depends On,Sprints,Acceptance
E01,工程与质量基线,E01-T01,初始化 Go workspace 与模块边界,ENGINEERING,repository,MUST,3,,S0,go test ./... 通过
E01,工程与质量基线,E01-T02,接入格式化、静态检查和依赖边界,ENGINEERING,ci,MUST,5,E01-T01,S0,Domain/Engine 禁止反向依赖
E01,工程与质量基线,E01-T03,建立 PostgreSQL Migration Runner,ENGINEERING,postgres-adapter,MUST,5,E01-T01,S0,checksum、advisory lock、重复执行保护
E01,工程与质量基线,E01-T04,建立 PostgreSQL CI 服务,TEST,ci,MUST,3,E01-T03,S0,全部 baseline migration 在锁定 PostgreSQL 版本执行
E01,工程与质量基线,E01-T05,生成 OpenAPI Server/Client 骨架,ENGINEERING,http-adapter,MUST,5,E01-T01,S0,14 operationId 全部生成且不进入 Domain
E01,工程与质量基线,E01-T06,建立 Golden Case Test Harness,TEST,test/golden,MUST,8,E01-T01,S0,136 cases 可发现、分组、执行和报告
E01,工程与质量基线,E01-T07,建立版本、构建和 SBOM,DEVOPS,release,MUST,3,E01-T02,S0,同 commit 可复现
E02,Shared Kernel 与确定性,E02-T01,Decimal 封装与精度保护,DOMAIN,shared/decimal,MUST,8,E01-T01,S1,禁止 float 构造；precision error 明确
E02,Shared Kernel 与确定性,E02-T02,Money、ChargeEffect 与总计,DOMAIN,shared/money,MUST,5,E02-T01,S1,金额非负；ADD-DEDUCT 守恒
E02,Shared Kernel 与确定性,E02-T03,Quantity、Unit 与精确换算,DOMAIN,shared/unit,MUST,8,E02-T01,S1,1 lb=0.45359237 kg 精确
E02,Shared Kernel 与确定性,E02-T04,时间、BusinessTime 和区间类型,DOMAIN,shared/time,MUST,5,E01-T01,S1,左闭右开；时区明确
E02,Shared Kernel 与确定性,E02-T05,稳定排序与 canonical hash,DOMAIN,shared/determinism,MUST,8,E02-T01,S1,输入数组/map 顺序不影响 hash
E02,Shared Kernel 与确定性,E02-T06,统一 DomainError 与 Problem 映射,DOMAIN,shared/errors,MUST,5,E01-T05,S1,错误码与 API Contract 一致
E03,数据库与 Repository,E03-T01,执行 Baseline Migration 与 schema smoke test,DATABASE,migrations,MUST,8,E01-T04,"S1,S2",空库执行成功；manifest 表清单一致
E03,数据库与 Repository,E03-T02,实现 tenant transaction 与 RLS,DATABASE,postgres-adapter,MUST,8,E03-T01,"S1,S2",跨 tenant 读写全部失败
E03,数据库与 Repository,E03-T03,实现 Version/Release Repository,DATABASE,postgres-adapter,MUST,8,E03-T01,"S1,S2",单请求冻结一个 release
E03,数据库与 Repository,E03-T04,实现 Snapshot/Fact Repository,DATABASE,postgres-adapter,MUST,8,E03-T01,"S1,S2",批量读取；append-only
E03,数据库与 Repository,E03-T05,实现 Evaluation Repository 两段事务,DATABASE,postgres-adapter,MUST,13,E03-T01,"S1,S2",REQUESTED/EVALUATING/COMPLETED/FAILED 恢复
E03,数据库与 Repository,E03-T06,实现 Idempotency、Operation、Batch Repository,DATABASE,postgres-adapter,MUST,13,E03-T01,"S1,S2",lease、重试、SKIP LOCKED
E03,数据库与 Repository,E03-T07,实现 Outbox/Inbox Repository,DATABASE,postgres-adapter,MUST,8,E03-T01,"S1,S2",状态与 outbox 同事务；消费者幂等
E04,Product、Pricing 与 Contract Domain,E04-T01,ServiceProduct 与 Eligibility Domain,DOMAIN,domain/producteligibility,MUST,8,E02-T04,S2,硬限制不可被合同放宽
E04,Product、Pricing 与 Contract Domain,E04-T02,PricingPlan 与 RateTable Domain,DOMAIN,domain/pricingcatalog,MUST,13,E02-T02,S2,BUY/SELL role 明确；版本不可变
E04,Product、Pricing 与 Contract Domain,E04-T03,ChargeDefinition 与 typed policy,DOMAIN,domain/pricingcatalog,MUST,13,E04-T02,S2,Scope/Basis/Method/Effect 独立
E04,Product、Pricing 与 Contract Domain,E04-T04,CustomerContract 与显式覆盖,DOMAIN,domain/contractpolicy,MUST,13,E04-T02,S2,无隐式 BUY→SELL 继承
E04,Product、Pricing 与 Contract Domain,E04-T05,VersionManifest 与 Release Resolver,APPLICATION,application/pricing,MUST,8,"E03-T03,E04-T04",S2,冲突不静默选 latest
E05,Snapshot 与 Fact Selection,E05-T01,API DTO 到 Snapshot Mapper,APPLICATION,application/rating,MUST,8,"E01-T05,E03-T04",S3,不预先舍入、不删邮编前导零
E05,Snapshot 与 Fact Selection,E05-T02,MeasurementFact 创建和校验,APPLICATION,application/facts,MUST,8,E03-T04,S3,物理重量/尺寸语义正确
E05,Snapshot 与 Fact Selection,E05-T03,CarrierAssessmentFact 创建和校验,APPLICATION,application/facts,MUST,8,E03-T04,S3,billed weight 不成为 actual weight
E05,Snapshot 与 Fact Selection,E05-T04,FactSelectionPolicy 执行器,ENGINE,engine/facts,MUST,13,"E04-T05,E05-T02,E05-T03",S3,同优先级冲突失败；fallback 留证
E06,Compiled Plan 与发布,E06-T01,Artifact Manifest 编解码和 hash,ENGINE,engine/plan,MUST,8,E02-T05,"S3,S4",Schema 示例通过；hash 校验
E06,Compiled Plan 与发布,E06-T02,RateIndex Compiler,ENGINE,engine/plan,MUST,13,E04-T02,"S3,S4",11 种 family 编译校验
E06,Compiled Plan 与发布,E06-T03,Charge DAG Compiler,ENGINE,engine/plan,MUST,13,E04-T03,"S3,S4",无环、稳定拓扑、类型匹配
E06,Compiled Plan 与发布,E06-T04,Contract sparse override compiler,ENGINE,engine/plan,MUST,13,E04-T04,"S3,S4",覆盖特异度唯一
E06,Compiled Plan 与发布,E06-T05,Golden Gate 与 Release 激活,APPLICATION,application/governance,MUST,13,"E01-T06,E06-T02,E06-T03,E06-T04","S3,S4",全部必需案例通过才可 ACTIVE
E06,Compiled Plan 与发布,E06-T06,L1 Artifact Cache 与 singleflight,INFRA,engine/plan,MUST,8,E06-T01,"S3,S4",按 content hash；淘汰只影响性能
E07,Geometry Engine,E07-T01,尺寸校验、换算和排序,ENGINE,engine/geometry,MUST,8,"E02-T03,E05-T04",S4,边>0；最长/次/短稳定
E07,Geometry Engine,E07-T02,Dimension Rounding,ENGINE,engine/geometry,MUST,5,E07-T01,S4,before/after ordering 唯一
